hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,city
Resort Hotel - Bangalore,0,98,2024,May,21,21,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,82.0,0,3,Check-Out,2024-05-21 21:24:54.861335634,Bangalore
Resort Hotel - Bangalore,0,109,2024,November,44,3,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,73.8,0,1,Check-Out,2024-11-03 15:35:05.108510832,Bangalore
Resort Hotel - Delhi,0,98,2024,July,27,7,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,82.0,0,3,Check-Out,2024-07-07 22:46:53.746660076,Delhi
Resort Hotel - Pune,0,9,2024,June,26,28,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,161.0,1,2,Check-Out,2024-06-28 02:04:42.176749952,Pune
Resort Hotel - Pune,0,62,2024,May,20,16,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,Transient,64.0,0,2,Check-Out,2024-05-16 13:53:30.959133588,Pune
Resort Hotel - Mumbai,0,51,2024,November,45,8,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,130.0,1,0,Check-Out,2024-11-08 08:08:23.443365804,Mumbai
Resort Hotel - Pune,0,58,2024,June,24,13,1,2,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,E,F,2,No Deposit,250.0,,0,Transient,165.0,1,1,Check-Out,2024-06-13 06:08:35.082629052,Pune
Resort Hotel - Pune,0,40,2024,November,48,26,1,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,120.0,0,2,Check-Out,2024-11-26 01:33:35.793749840,Pune
Resort Hotel - Indore,0,40,2024,December,49,5,1,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,120.0,0,2,Check-Out,2024-12-05 22:15:47.363659968,Indore
Resort Hotel - Chandigarh,0,81,2024,May,19,10,2,5,2,1.0,0,HB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,181.22,0,2,Check-Out,2024-05-10 05:07:41.198267846,Chandigarh
Resort Hotel - Delhi,0,56,2024,October,40,3,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,134.25,1,0,Check-Out,2024-10-03 21:31:11.177411652,Delhi
Resort Hotel - Bangalore,0,0,2024,August,35,27,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,111.15,0,1,Check-Out,2024-08-27 14:34:55.368920084,Bangalore
Resort Hotel - Chandigarh,0,6,2024,November,46,11,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,180.0,1,2,Check-Out,2024-11-11 15:53:48.990945564,Chandigarh
Resort Hotel - Mumbai,0,8,2024,February,7,14,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,168.57,0,1,Check-Out,2024-02-14 04:06:06.063875231,Mumbai
Resort Hotel - Indore,0,10,2024,June,25,17,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,184.0,1,0,Check-Out,2024-06-17 19:01:46.170585230,Indore
Resort Hotel - Lucknow,0,19,2024,December,51,19,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,121.33,0,1,Check-Out,2024-12-19 10:08:03.119885416,Lucknow
Resort Hotel - Lucknow,0,11,2024,February,6,8,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,155.5,1,0,Check-Out,2024-02-08 08:45:54.826659072,Lucknow
Resort Hotel - Lucknow,0,1,2024,September,36,8,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,E,0,No Deposit,250.0,,0,Transient,144.5,0,0,Check-Out,2024-09-08 15:27:13.989731048,Lucknow
Resort Hotel - Bhopal,0,94,2024,March,12,20,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,250.0,,0,Transient,103.5,0,0,Check-Out,2024-03-20 18:10:13.141914246,Bhopal
Resort Hotel - Pune,0,23,2024,March,13,25,2,5,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,195.0,0,0,Check-Out,2024-03-25 03:45:17.707661510,Pune
Resort Hotel - Indore,0,65,2024,April,15,11,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,147.0,0,2,Check-Out,2024-04-11 10:36:33.186977024,Indore
Resort Hotel - Mumbai,0,65,2024,July,29,17,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,167.0,1,2,Check-Out,2024-07-17 02:01:18.821331948,Mumbai
Resort Hotel - Goa,0,25,2024,December,49,3,3,7,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,194.9,0,2,Check-Out,2024-12-03 09:34:59.499953932,Goa
Resort Hotel - Pune,0,38,2024,May,21,22,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,135.0,0,0,Check-Out,2024-05-22 17:09:09.849651140,Pune
Resort Hotel - Pune,0,3,2024,August,31,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,116.33,1,1,Check-Out,2024-08-03 07:50:56.271515800,Pune
Resort Hotel - Bhopal,0,19,2024,October,41,7,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240.0,,0,Transient,147.67,0,2,Check-Out,2024-10-07 06:53:27.913626884,Bhopal
Resort Hotel - Indore,0,44,2024,May,22,28,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,177.0,1,0,Check-Out,2024-05-28 03:19:02.969620316,Indore
Resort Hotel - Kolkata,0,57,2024,February,8,22,2,6,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,135.0,0,1,Check-Out,2024-02-22 13:39:32.208494920,Kolkata
Resort Hotel - Chennai,0,57,2024,June,22,2,2,6,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,135.0,0,1,Check-Out,2024-06-02 02:02:09.479265258,Chennai
Resort Hotel - Indore,0,41,2024,April,15,8,2,5,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,,0,Transient,131.37,0,1,Check-Out,2024-04-08 04:05:58.103342854,Indore
Resort Hotel - Mumbai,0,123,2024,August,33,14,2,4,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,,0,Transient,130.5,0,1,Check-Out,2024-08-14 10:29:18.976120076,Mumbai
Resort Hotel - Lucknow,0,41,2024,May,20,18,1,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,104.0,0,0,Check-Out,2024-05-18 06:19:14.819958288,Lucknow
Resort Hotel - Hyderabad,0,42,2024,November,44,3,2,5,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,148.34,0,0,Check-Out,2024-11-03 16:45:31.427518448,Hyderabad
Resort Hotel - Mumbai,0,62,2024,December,51,17,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,167.0,0,1,Check-Out,2024-12-17 01:11:46.648016148,Mumbai
Resort Hotel - Bhopal,0,0,2024,November,45,4,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,153.0,1,0,Check-Out,2024-11-04 05:13:56.066974344,Bhopal
Resort Hotel - Delhi,0,33,2024,August,32,8,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient-Party,194.0,1,1,Check-Out,2024-08-08 17:43:12.811733072,Delhi
Resort Hotel - Jaipur,0,33,2024,February,8,19,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,184.0,0,1,Check-Out,2024-02-19 20:38:59.793448307,Jaipur
Resort Hotel - Ahmedabad,0,9,2024,May,18,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,164.0,0,2,Check-Out,2024-05-03 07:57:50.942884184,Ahmedabad
Resort Hotel - Chandigarh,0,22,2024,February,6,11,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,153.0,0,2,Check-Out,2024-02-11 10:25:56.344386836,Chandigarh
Resort Hotel - Pune,0,22,2024,September,38,17,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,173.0,0,2,Check-Out,2024-09-17 22:48:11.180929564,Pune
Resort Hotel - Goa,0,22,2024,January,2,12,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,153.0,0,2,Check-Out,2024-01-12 04:46:02.907805576,Goa
Resort Hotel - Kolkata,0,22,2024,October,43,22,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,153.0,0,2,Check-Out,2024-10-22 11:02:39.240801076,Kolkata
Resort Hotel - Bhopal,0,18,2024,August,32,6,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,G,0,No Deposit,250.0,,0,Transient,154.0,0,0,Check-Out,2024-08-06 11:25:25.557630936,Bhopal
Resort Hotel - Jaipur,0,39,2024,May,18,3,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,107.0,0,0,Check-Out,2024-05-03 09:21:29.696705726,Jaipur
Resort Hotel - Pune,0,43,2024,January,5,29,2,7,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,166.0,0,0,Check-Out,2024-01-29 11:37:18.387121091,Pune
Resort Hotel - Bangalore,0,40,2024,July,28,9,0,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,134.0,,0,Transient,107.0,0,0,Check-Out,2024-07-09 18:26:19.984755714,Bangalore
Resort Hotel - Delhi,0,11,2024,March,9,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,241.0,,0,Transient,117.81,0,0,Check-Out,2024-03-03 15:16:41.489249428,Delhi
Resort Hotel - Chennai,0,39,2024,June,24,10,0,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,134.0,,0,Transient,107.0,0,0,Check-Out,2024-06-10 08:52:42.261179840,Chennai
Resort Hotel - Pune,0,12,2024,November,48,25,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,153.0,0,1,Check-Out,2024-11-25 13:49:12.603673704,Pune
Resort Hotel - Jaipur,0,25,2024,August,31,2,2,3,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,158.77,0,2,Check-Out,2024-08-02 10:56:14.964192680,Jaipur
Resort Hotel - Chennai,0,94,2024,October,42,20,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,134.0,1,1,Check-Out,2024-10-20 12:44:43.784938308,Chennai
Resort Hotel - Bhopal,0,47,2024,August,33,13,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,103.5,0,0,Check-Out,2024-08-13 05:52:22.450309492,Bhopal
Resort Hotel - Chandigarh,0,38,2024,February,6,7,2,5,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,180.0,0,0,Check-Out,2024-02-07 16:15:22.215614503,Chandigarh
Resort Hotel - Jaipur,0,51,2024,January,4,22,1,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,G,0,No Deposit,250.0,,0,Transient,115.0,0,0,Check-Out,2024-01-22 11:04:57.464590540,Jaipur
Resort Hotel - Bhopal,0,6,2024,February,8,21,1,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,5,No Deposit,,,0,Transient,162.0,0,2,Check-Out,2024-02-21 04:16:26.261715903,Bhopal
Resort Hotel - Hyderabad,0,28,2024,August,35,27,1,3,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,142.0,,0,Transient,133.2,0,0,Check-Out,2024-08-27 15:58:34.122741624,Hyderabad
Resort Hotel - Lucknow,0,45,2024,January,4,27,1,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,107.0,1,2,Check-Out,2024-01-27 14:56:14.119893792,Lucknow
Resort Hotel - Kochi,0,31,2024,December,49,4,1,3,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,145.0,0,0,Check-Out,2024-12-04 05:14:50.343331460,Kochi
Resort Hotel - Chandigarh,0,35,2024,February,8,22,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,159.6,1,1,Check-Out,2024-02-22 17:28:27.745269665,Chandigarh
Resort Hotel - Ahmedabad,0,32,2024,April,14,6,0,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,107.0,0,1,Check-Out,2024-04-06 11:22:37.662766251,Ahmedabad
Resort Hotel - Lucknow,0,36,2024,September,36,8,0,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,135.0,0,0,Check-Out,2024-09-08 21:54:38.744272924,Lucknow
Resort Hotel - Jaipur,0,37,2024,February,6,10,0,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,F,1,No Deposit,134.0,,0,Transient,107.0,0,0,Check-Out,2024-02-10 05:22:34.948948395,Jaipur
Resort Hotel - Chennai,0,52,2024,November,47,22,0,3,2,2.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196.0,,0,Transient,280.74,1,0,Check-Out,2024-11-22 13:28:25.694829504,Chennai
Resort Hotel - Chandigarh,0,3,2024,July,28,8,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,188.29,0,2,Check-Out,2024-07-08 08:06:00.153783012,Chandigarh
Resort Hotel - Lucknow,0,34,2024,August,33,18,2,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,3,No Deposit,250.0,,0,Transient,174.76,1,1,Check-Out,2024-08-18 23:18:05.919138280,Lucknow
Resort Hotel - Jaipur,0,14,2024,September,38,22,0,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,241.0,0,2,Check-Out,2024-09-22 01:16:13.687693172,Jaipur
Resort Hotel - Lucknow,0,140,2024,September,37,14,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,90.95,1,0,Check-Out,2024-09-14 16:30:48.532109324,Lucknow
Resort Hotel - Lucknow,0,6,2024,January,2,9,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,188.29,0,2,Check-Out,2024-01-09 14:28:23.855464071,Lucknow
Resort Hotel - Bhopal,0,2,2024,September,37,14,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,171.9,0,0,Check-Out,2024-09-14 14:18:44.183970048,Bhopal
Resort Hotel - Indore,0,44,2024,May,20,16,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,148.25,1,0,Check-Out,2024-05-16 07:56:55.219157544,Indore
Resort Hotel - Pune,0,9,2024,January,4,25,0,3,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,C,2,No Deposit,240.0,,0,Transient,268.0,1,1,Check-Out,2024-01-25 12:14:09.967752473,Pune
